,building_blocks
73,Cc1cc(C#N)cnc1N
74,Cc1cc(C)c(N)c([N+](=O)[O-])c1
75,Cc1cc(CN)ccc1Oc1ccc(Cl)cc1Cl.Cl
76,Cc1cc(F)ccc1N
77,Cc1cc(N)n(-c2ccccc2)n1
78,Cc1cc(N)n(C(C)C)n1
79,Cc1cc(N)ncc1[N+](=O)[O-]
80,Cc1cc([N+](=O)[O-])c(Cl)cc1N
81,Cc1ccc(F)c(N)c1
82,Cc1ccc(O)c(CN)n1.Cl.Cl
83,Cc1ccc2cccc(N)c2n1
84,Cc1cccc(N)c1Cl
85,Cc1ccccc1-n1nc(C)c(CN)c1C.Cl.Cl
86,Cc1ccnc(Cl)c1N
87,Cc1cnc(Cl)cc1N
88,Cc1ncc(N)cc1Br
89,Cc1sc(N)c(C#N)c1C
90,Cl.Cl.Cn1ccnc1Cn1c(CCCN)nc2c1CCCC2
91,Cl.Cl.NCC(=O)NCCN1CCOCC1
92,Cl.Cl.NCC1CCN(C(N)=O)C1
93,Cl.Cl.NCC1CCNC(=O)C1
94,Cl.Cl.NCCC(=O)Nc1ccncc1
95,Cl.Cl.NCCCN1CCNC(=O)C1
96,Cl.Cl.NCCNC(=O)c1cnccn1
97,Cl.Cl.NCCc1nc2c(s1)COCC2
98,Cl.Cl.NCCn1cc(C2CC2)nn1
99,Cl.Cl.NCc1cc2n(n1)CCCO2
100,Cl.Cl.NCc1ccc(-n2cncn2)cc1
101,Cl.Cl.NCc1cnsc1
102,Cl.Cl.NCc1nc(-c2ccncc2)no1
103,Cl.Cl.NCc1nnc(C2CCOC2)[nH]1
104,Cl.Cl.NCc1nnc2n1CCOCC2
105,Cl.NCC(=O)NC1CCC1
106,Cl.NCC(F)(F)CC1CC1
107,Cl.NCC1CC(=O)N(Cc2ccccc2)C1
108,Cl.NCC1CC(CC(N)=O)CO1
109,Cl.NCC1CCN(c2ccc(Br)cc2)C1
110,Cl.NCC1CCOC2(CCOCC2)C1
111,Cl.NCC1CNC(=O)C1
112,Cl.NCCC1CN(c2ncnc3[nH]ncc23)c2ccccc21
113,Cl.NCCN1C(=O)c2ccccc2S1(=O)=O
114,Cl.NCCOCC(F)F
115,Cl.NCCc1cc(Br)c(Br)s1
116,Cl.NCc1ccc(-c2c[nH]c(=O)[nH]c2=O)cc1
117,Cl.NCc1ccc(CN2C(=O)CNC2=O)cc1
118,Cl.NCc1cccc2cc[nH]c12
119,Cl.NCc1nc2cc(F)ccc2o1
120,Cl.NCc1nc2ccccc2o1
121,Cl.NCc1nnc2c(=O)[nH]ccn12
122,Cl.Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12
123,Cl.Nc1ncns1
124,Cn1cc(-c2ccccc2CN)cn1
125,N#Cc1cc(N)ccc1F
126,N#Cc1cccnc1N
127,N#Cc1ccnc(N)c1
128,N#Cc1ncc(N)cc1C(F)(F)F
129,NC/C=C/Br
130,NC1COC1
131,NCC(O)COc1cccc(Cl)c1Cl
132,NCC1(O)CCCC1
133,NCCC(=O)NC1CCCC1
134,NCCC1SCCS1
135,NCCN1CCC2(C1)OCCO2
136,NCc1cccnc1
137,NCc1cccs1
138,NCc1ccnc(-n2cncn2)c1
139,NCc1cn(C(F)F)c2ccccc12
140,Nc1c(F)cccc1F
141,Nc1cc(Cl)ccn1
142,Nc1cc(Cl)ncn1
143,Nc1cc(N2CCNCC2)ccc1[N+](=O)[O-]
144,Nc1ccc(-c2ccccc2)cn1
145,Nc1ccc(-c2ncc[nH]2)cc1
146,Nc1ccc(Cl)cc1F
147,Nc1ccc(F)c(Cl)c1
148,Nc1ccc(F)c(Cl)c1F
149,Nc1ccc(F)c([N+](=O)[O-])c1
150,Nc1ccc(F)cc1F
151,Nc1ccc(F)nc1
152,Nc1ccc(N2CCC(N3CCOCC3)CC2)cc1
153,Nc1ccc(OC(F)(F)F)c(Cl)c1
154,Nc1ccc([N+](=O)[O-])c(Br)c1
155,Nc1ccc2c(c1)CNC2=O
156,Nc1ccc2cnccc2c1
157,Nc1ccc2ncccc2c1
158,Nc1cccc(-n2cncn2)c1
159,Nc1cccc(CN2CCCCC2)c1
160,Nc1cccc(F)n1
161,Nc1cccc(N2CCOCC2)c1
162,Nc1cccc2c(=O)[nH][nH]c(=O)c12
163,Nc1cccc2cnccc12
164,Cc1cnc(CN)o1.Cl
165,Cc1cnc(F)c(CN)c1
166,Cc1n[nH]c(N)c1C
167,Cc1nnc(N)o1
168,Cl.Cl.NCc1ccc2scnc2c1
169,Cn1nnc(N)n1
170,N#Cc1ccc2nc(N)sc2c1
171,N#Cc1cnc2c(C#N)cnn2c1N
172,NCC(O)c1ccc(Cl)s1.O=C(O)C(F)(F)F
173,NCC1(c2ccc3c(c2)OCO3)CCCCC1
174,NCCc1nccc(C2CC2)n1
175,NCc1ccc(C(=O)N2CCCC2)cc1
176,NCc1ccc(F)nc1
177,NCc1ccon1
178,NCc1ccsc1
179,NCc1cn2cccc(F)c2n1
180,Nc1cc[nH]n1
181,Nc1ccc2nccn2c1
182,Nc1n[nH]c2c(Cl)cc([N+](=O)[O-])cc12
183,Nc1n[nH]c2c(F)c(F)ccc12
184,Nc1n[nH]c2cc(F)ccc12
185,Nc1n[nH]c2ncccc12
186,Nc1nc(Cl)c(C=O)c(Cl)n1
187,Nc1nc2c(Br)cccc2s1
188,Nc1nc2cc(Br)ccn2n1
189,Nc1nc2cccc(Br)n2n1
190,Nc1nc2ccccc2o1
191,Nc1nc[nH]n1
192,Nc1ncnc2[nH]ncc12
193,Nc1nnn[nH]1
194,CC(CN)c1nccs1
195,CC1Cc2cc(CN)ccc2O1
196,CCOC(=O)c1nnc(N)o1
197,COC(=O)c1sc(-c2ccc(Cl)cc2)cc1N
198,COc1ccc(CN)cc1CN1CCOCC1.Cl.Cl
199,COc1ccc2nnc(CN)n2n1
200,Cc1cc(Cl)nc(Cl)c1N
201,Cc1ccc(C)c(CN)n1
202,Cc1ccc(CN)c(Cl)n1
203,Cc1ccc(CN)c(OC2CCOC2)c1
204,Cc1cccc2sc(N)nc12
205,C=CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
206,CCc1cccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c1C(=O)O
207,COC(=O)c1ccc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c1
208,COc1cc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)cn1
209,COc1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1OC
210,COc1cccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c1C(=O)O
211,COc1nccc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
212,C[C@@]1(C(=O)O)CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
213,Cc1ccc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c1C
214,Cc1ccc(C(CC(=O)O)NC(=O)OCC2c3ccccc3-c3ccccc32)cc1
215,Cc1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
216,O=C(NC(Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
217,O=C(NCC1CCC(C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21
218,O=C(N[C@@H](CCC1CCCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21
219,O=C(N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
220,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
221,O=C(N[C@@H](Cc1ccc(F)cc1F)C(=O)O)OCC1c2ccccc2-c2ccccc21
222,O=C(N[C@@H](Cc1cccs1)C(=O)O)OCC1c2ccccc2-c2ccccc21
223,O=C(N[C@H](Cc1ccc(F)c(F)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21
224,O=C(Nc1c(C(=O)O)cc(Cl)c(Br)c1F)OCC1c2ccccc2-c2ccccc21
225,O=C(Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl)OCC1c2ccccc2-c2ccccc21
226,O=C(Nc1c(F)cc(Br)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
227,O=C(Nc1c(F)cccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
228,O=C(Nc1cc(-n2cccn2)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
229,O=C(Nc1cc(C(=O)O)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
230,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
231,O=C(Nc1cc(F)c(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
232,O=C(Nc1cc(I)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
233,O=C(Nc1ccc(C(=O)O)cc1F)OCC1c2ccccc2-c2ccccc21
234,O=C(Nc1ccc(Cl)c(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
235,O=C(Nc1ccc(Cl)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
236,O=C(Nc1ccc2cc(C(=O)O)ccc2c1)OCC1c2ccccc2-c2ccccc21
237,O=C(O)C1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1
238,O=C(O)C[C@@H](Cc1ccc(Cl)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
239,C#CC[C@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21
240,CC(C)(C)OCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
241,COc1cccc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
242,CSc1ncc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)n1
243,Cc1cc(C)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1
244,O=C(N[C@@H](Cc1ccc(F)c(F)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21
245,O=C(N[C@H](CC1CCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21
246,O=C(N[C@H](Cc1ccc(I)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
247,O=C(Nc1c(Cl)cc(Cl)nc1C(=O)O)OCC1c2ccccc2-c2ccccc21
248,O=C(Nc1cc(Br)c(F)cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
249,O=C(Nc1cc(C(=O)O)ccc1Cl)OCC1c2ccccc2-c2ccccc21
250,O=C(Nc1cc(F)cc(F)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
251,O=C(Nc1ccc(C(=O)O)c(Cl)c1)OCC1c2ccccc2-c2ccccc21
252,O=C(Nc1ccc(C(=O)O)cc1C(F)(F)F)OCC1c2ccccc2-c2ccccc21
253,O=C(Nc1ccc([N+](=O)[O-])c(C(=O)O)c1)OCC1c2ccccc2-c2ccccc21
254,O=C(Nc1ccc([N+](=O)[O-])cc1C(=O)O)OCC1c2ccccc2-c2ccccc21
255,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(Br)cc1
256,O=C(O)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1cccc([N+](=O)[O-])c1
257,O=C(O)C[C@H](Cc1ccc(Cl)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
258,O=C(O)C[C@H]1Cc2ccccc2CN1C(=O)OCC1c2ccccc2-c2ccccc21
259,O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21
260,COc1c(F)ccc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
261,COc1cc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)cc1OC
262,Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1
263,O=C(N[C@@H](C/C=C/c1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
264,O=C(N[C@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
265,O=C(Nc1c(C(=O)O)ccc2ccccc12)OCC1c2ccccc2-c2ccccc21
266,O=C(Nc1c(C(=O)O)cnn1CCO)OCC1c2ccccc2-c2ccccc21
267,O=C(O)C[C@@H](Cc1ccc(C(F)(F)F)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21
268,[N-]=[N+]=NCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
269,Nc1ccnc(-c2ccccc2)c1
270,Nc1cnc(Cl)c(Cl)c1
271,Nc1cncc(Cl)n1
272,Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1
273,Nc1nc(-c2ccc(F)cc2)cs1
274,Nc1nc(-c2ccccc2Cl)cs1
275,Nc1ncc(-c2ccccc2)s1
276,Nc1ncc(Cl)cc1Cl
277,Nc1ncc(Cl)cc1F
278,Nc1ncc(F)cc1[N+](=O)[O-]
279,Nc1nccc(Cl)n1
280,Nc1nccc2cccnc12
281,Nc1ncccc1CO
282,Nc1ncccc1F
283,Nc1nccnc1Br
284,Nc1ncco1
285,Nc1ncnc2c1ncn2C1CCCCO1
286,C#CCOc1ccc(CN)cc1.Cl
287,C=C(C)C(=O)NCCN.Cl
288,C=C(C)COCCN.Cl
289,C=C(Cl)CN.Cl
290,CC(C)(C)OC(=O)N1CCN(c2ccccc2N)CC1
291,CC(C)(CN)C(=O)N1CCCC1
292,CC(C)(CN)CCC#N
293,CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1
294,CC(CN)S(=O)(=O)N1CCN(c2ccccc2)CC1.Cl.Cl
295,CC(CN)S(N)(=O)=O.Cl
296,CC(O)(CN)CN1CCOCC1
297,CC(O)CCN
298,CC1(C)OB(c2ccc(N)cc2)OC1(C)C
299,CC1(F)CCN(CCN)C1.Cl.Cl
300,CC1=CCN(CCN)CC1.Cl.Cl
301,CC1CCCC(CN)O1
302,CCC(C)(O)CCN
303,CCC(CC)(CN)OC
304,CCOC(=O)c1cnc(SC)nc1N
305,CCOC(=O)c1csc(N)n1
306,CCOC(CN)CN(C)C
307,CCOCCCN
308,CCON(C)C(=O)CN.Cl
309,CCS(=O)CCN.Cl
310,CCn1cc2cc(N)ccc2n1
311,CN(C)c1cccnc1CN
312,CN(Cc1ccco1)Cc1ccccc1CN
313,CN1CC2(CCC1CN)CC2.Cl.Cl
314,CNC(=O)c1ccc(N)cc1F
315,COC(=O)c1cc(Cl)ccc1N
316,COC(=O)c1cc(N)cc(O)c1
317,COC(=O)c1cc(N)ccc1Cl
318,COC(=O)c1cc(N)cs1
319,COC(=O)c1nccnc1N
320,COC(C)(CN)C1CC1
321,COC1(CN)CCC1
322,COC1(OC)CC(CN)C1
323,COC1CCC(CCN)CC1
324,COCC1(CN)CCCCC1
325,COCOCCCN
326,COCc1ccc(N)cc1
327,COCc1ccccc1CN
328,COc1cc(CN)c(Br)cn1
329,COc1ccc(C(CN)N2CCOCC2)cc1OC
330,COc1ccc(CN)c(C)c1OC
331,COc1ccc(N)c(Cl)c1
332,COc1ccc(N)cc1Cl.Cl
333,COc1ccc(OC)c(N)c1
334,COc1ccc([N+](=O)[O-])c(N)n1
335,COc1cnc(CN)cn1.Cl.Cl
336,COc1cnc(N)cn1
337,CS(=O)(=O)NC(=O)CCN.Cl
338,CS(=O)(=O)c1ccc(N)cc1
339,CS(=O)(=O)c1ccc(N)cc1F
340,CS(=O)(=O)c1cccc(N)c1
341,CS(=O)CCCCN
342,CSSCCN.Cl
343,CSc1ccc(CN)cc1C#N.Cl
344,Cc1[nH][nH]c(=O)c1CCN
345,Cc1cc(Cl)ncc1N
346,Cc1cc(F)ncc1CN
347,Cc1cc(N)on1
348,Cc1ccc(-c2cc(C(F)(F)F)nc(OCCN)n2)cc1
349,Cc1ccc([N+](=O)[O-])c(N)n1
350,Cc1cccnc1NC(=O)CCN.Cl.Cl
351,Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1
352,Cc1cnc(N)s1
353,Cc1nc(CN)ccc1C(C)O.Cl.Cl
354,Cc1nc(N)ccc1[N+](=O)[O-]
355,Cc1nccn1-c1ncccc1CN
356,Cc1nccnc1N
357,Cc1nn(C)c2ncc(CN)cc12.Cl
358,Cc1nnc(CCCN)s1.Cl
359,Cc1nnc(N)s1
360,Cc1sc(C)c(CN)c1Br.Cl
361,Cl.Cl.N=C(N)CCCN
362,Cl.Cl.NCCN1CCS(=O)CC1
363,Cl.Cl.NCc1cc(=O)nc[nH]1
364,Cl.Cl.NCc1cc(Br)cc2cccnc12
365,Cl.Cl.NCc1cn[nH]c1
366,Cl.Cl.NCc1nccc2[nH]ccc12
367,Cl.Cl.NCc1nccn1-c1ccccc1
368,Cl.Cn1c(CN)n[nH]c1=O
369,Cl.Cn1nnc(CN)c1C(F)F
370,Cl.N#CC1(NC(=O)CN)CC1
371,Cl.NCC(=O)N1CCCO1
372,Cl.NCC(F)(F)C1CC1
373,Cl.NCC1(F)CCCCC1
374,Cl.NCC1(O)C2C3CC4C5C3CC2C5C41
375,Cl.NCC1(OCCO)CCS(=O)(=O)C1
376,Cl.NCC1CC(C(N)=O)=NO1
377,Cl.NCC1CCC2(CCC2)CO1
378,Cl.NCC1Cc2ccccc2C1
379,Cl.NCC1Cc2ccccc2NC1=O
380,Cl.NCC=C(Cl)Cl
381,Cl.NCCCNC(=O)C1CCC1
382,Cl.NCCN1CCCS1(=O)=O
383,Cl.NCCNC(=O)c1ccc(Cl)cc1
384,Cl.NCCNC(=O)c1ccccc1F
385,Cl.NCCNC(=O)c1ccn[nH]1
386,Cl.NCCNC(=O)c1ccno1
387,Cl.NCCOC1CCS(=O)(=O)C1
388,Cl.NCCc1c[nH]c2cc(Cl)ccc12
389,Cl.NCCn1cnnn1
390,Cl.NC[C@@H]1CCCO1
391,Cl.NC[C@@H]1C[C@@H]2O[C@H]1[C@H]1C[C@H]12
392,Cl.NC[C@H]1CC[C@H](C(N)=O)CC1
393,Cl.NCc1cc(=O)[nH]c2ccccc12
394,Cl.NCc1ccc[nH]c1=O
395,Cl.NCc1cnoc1C1CC1
396,Cl.NCc1csc(=O)[nH]1
397,Cl.NCc1cscc1C(F)(F)F
398,Cl.NCc1noc(C2CCOCC2)n1
399,Cl.NCc1noc2ccc(F)cc12
400,Cl.Nc1cc(O)ccn1
401,Cl.Nc1ccc(O)cc1Cl
402,Cn1ncc2cc(N)ccc21
403,N#Cc1c(N)cccc1F
404,N#Cc1c(N)sc2c1CCCC2
405,N#Cc1ccc(N)c([N+](=O)[O-])c1
406,N#Cc1ccc(N)cc1C(F)(F)F
407,NCC1(CO)CCOC1
408,NCC1(Cc2ccccc2)CC1
409,NCC12CC=CC(C1)OC2
410,NCC1CCC(C(F)F)CC1
411,NCC1CCN(c2ccncc2)CC1
412,NCCCCN1CCCC1
413,NC[C@@H]1CCC(=O)N1
414,NC[C@@H]1C[C@@H]2C=C[C@H]1C2
415,NCc1cc(F)cc(F)c1
416,NCc1cccc2c1OCO2
417,NCc1ccccc1N1CCOCC1
418,Nc1cc(Br)ccc1CO
419,Nc1cc(Cl)nnc1Cl
420,Nc1cc(F)c(F)cc1Br
421,Nc1cc(F)c(F)cc1[N+](=O)[O-]
422,Nc1ccc(-n2cccc2)cc1
423,Nc1ccc(Cl)c(C(F)(F)F)c1
424,Nc1ccc(F)c(C(F)(F)F)c1
425,Nc1ccc(N2CCCC2=O)cc1
426,Nc1ccc(N2CCOCC2)c(F)c1
427,Nc1ccc(O)cc1C(F)(F)F
428,Nc1ccc(O)cn1
429,Nc1ccc([N+](=O)[O-])cn1
430,Nc1ccc2[nH]ncc2c1
431,Nc1ccc2c(c1)CCCC2=O
432,Nc1ccc2c(c1)OCCCO2
433,Nc1ccc2nccnc2c1
434,Nc1ccc2nccnc2c1Br
435,Nc1ccc2nsnc2c1
436,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
437,Cc1conc1CN
438,Cc1nn(CCN)c(C)c1Cl
439,Cc1nnsc1CN
440,Cc1sc(CN)nc1C(C)C
441,Cl.Cl.NCC#Cc1cccnc1
442,Cl.Cl.NCc1nc2c(s1)CCC2
443,Cl.NCCS(=O)(=O)Nc1ccccc1
444,Cn1c(N)cc(=O)n(C)c1=O
445,Cn1cc(C(F)F)c(CN)n1
446,Cn1cc(N)cn1
447,Cn1nccc1[C@@H]1OCC[C@H]1CN
448,N#Cc1c[nH]nc1N
449,N#Cc1ccsc1N
450,NCC1CCCn2ccnc21
451,NCCS(=O)Cc1ccccc1
452,NCCc1ccc(N2CCOCC2)c(F)c1
453,NCCc1ncc(Br)s1
454,NCc1ccc(NC(=O)c2ccco2)cc1
455,NCc1cnc(-c2ccccc2)o1
456,NCc1cnc(N2CCOCC2)c(F)c1
457,Nc1[nH]c(=O)ncc1F
458,Nc1cc(=O)[nH]c(=O)[nH]1
459,Nc1cc(Br)cn2ccnc12
460,Nc1cc[nH]c(=O)c1
461,Nc1cc[nH]c(=O)n1
462,Nc1n[nH]c2cc(Cl)ccc12
463,Nc1n[nH]c2ccc([N+](=O)[O-])cc12
464,Nc1nc(=O)[nH]cc1Br
465,Nc1nc2c(s1)CCCC2
466,Nc1nc2c(s1)CN(C(=O)OCc1ccccc1)CC2
467,Nc1nc2cc([N+](=O)[O-])ccc2[nH]1
468,Nc1nc2ccccc2s1
469,Nc1nc2nc[nH]c2c(=O)[nH]1
470,Nc1ncnc(=O)[nH]1
471,CC(CN)Cn1cccn1
472,CC1CCc2nc(CN)sc2C1
473,CCc1cc(N)n[nH]1
474,CCn1cc(N)c(C)n1
475,CCn1nccc1CN
476,COC(=O)Cc1nc(N)sc1C
477,COC(=O)c1cc(Cl)nc(Cl)c1N
478,COC(=O)c1sccc1N
479,COc1c(N)ncnc1Cl
480,COc1cc(CN)sn1.Cl.Cl
481,Cc1cc(CN)c(C)[nH]1
482,Cc1cc(CN)c(C)o1
483,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21
484,C#CC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
485,CC(C)(C)OC(=O)N1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1C(=O)O
486,CC(OC(C)(C)C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
487,COc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1
488,C[C@@H](OCc1ccccc1)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
489,Cc1cc(Cl)cc(C(=O)O)c1NC(=O)OCC1c2ccccc2-c2ccccc21
490,Cc1ccccc1[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21
491,N#Cc1ccc(C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
492,N#Cc1ccc([C@H](CC(=O)O)NC(=O)OCC2c3ccccc3-c3ccccc32)cc1
493,N#Cc1cccc(C[C@H](CC(=O)O)NC(=O)OCC2c3ccccc3-c3ccccc32)c1
494,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21
495,O=C(N[C@@H](Cc1ccccc1F)C(=O)O)OCC1c2ccccc2-c2ccccc21
496,O=C(N[C@@H](Cc1cccnc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
497,O=C(N[C@@H](Cc1ccsc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
498,O=C(N[C@H](C(=O)O)C1CCCCC1)OCC1c2ccccc2-c2ccccc21
499,O=C(N[C@H](Cc1cc(F)cc(F)c1)C(=O)O)OCC1c2ccccc2-c2ccccc21
500,O=C(N[C@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21
501,O=C(N[C@H]1CC[C@@H](C(=O)O)C1)OCC1c2ccccc2-c2ccccc21
502,O=C(Nc1c(Cl)cccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
503,O=C(Nc1cc(Br)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
504,O=C(Nc1cc(Cl)ccc1C(=O)O)OCC1c2ccccc2-c2ccccc21
505,O=C(Nc1ccc(C(=O)O)c(F)c1)OCC1c2ccccc2-c2ccccc21
506,O=C(Nc1cccc(C(=O)O)c1C(=O)O)OCC1c2ccccc2-c2ccccc21
507,O=C(Nc1nc2ccc(C(=O)O)cc2s1)OCC1c2ccccc2-c2ccccc21
508,O=C(O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccc(Br)cc1
